,"NYC Borough, Block and Lot (BBL)",Address 1,City,Postcode
297,3072340001,2612 W 2 ST PLPM,Brooklyn,11223
298,3072340001,2612 W 2 ST PLPM,Brooklyn,11223
299,5039830045,255 MILL RD HLS,Staten Island,10306
300,5039830045,255 MILL RD HLS,Staten Island,10306
301,5039830001,655 TYSENS LANE,Staten Island,10306
302,5039830001,655 TYSENS LANE,Staten Island,10306
303,5039830001,675 TYSENS LANE,Staten Island,10306
304,5039830001,675 TYSENS LANE,Staten Island,10306
305,5039830045,265 MILL RD HLS,Staten Island,10306
306,5039830045,265 MILL RD HLS,Staten Island,10306
307,5039830045,245 MILL RD HELM,Staten Island,10306
308,5039830045,245 MILL RD HELM,Staten Island,10306
309,5039830065,30 EBBITTS ST OM,Staten Island,10306
310,5039830065,30 EBBITTS ST OM,Staten Island,10306
311,5039830065,26 EBBITTS ST HELM,Staten Island,10306
312,5039830065,26 EBBITTS ST HELM,Staten Island,10306
313,5005950015,460 HOWARD AVE OM,Staten Island,10301
314,5005950015,460 HOWARD AVE OM,Staten Island,10301
315,5005950015,488 HOWARD AVE OWNR,Staten Island,10301
316,5005950015,488 HOWARD AVE OWNR,Staten Island,10301
317,5005950015,516 HOWARD AVE ENT,Staten Island,10301
318,5005950015,516 HOWARD AVE ENT,Staten Island,10301
319,5005950015,550 HOWARD AVE,Staten Island,10301
320,5005950015,550 HOWARD AVE,Staten Island,10301
321,5005950015,7 STRATFORD Avenue,Staten Island,10301
322,5005950015,7 STRATFORD Avenue,Staten Island,10301
323,5005950015,22 ARLO RD ENT,Staten Island,10301
324,5005950015,22 ARLO RD ENT,Staten Island,10301
325,5005930590,23 ARLO RD OM,Staten Island,10301
326,5005930590,23 ARLO RD OM,Staten Island,10301
327,5005930590,49 ARLO RD ENT,Staten Island,10301
328,5005930590,49 ARLO RD ENT,Staten Island,10301
329,5005950015,50 ARLO RD ENT,Staten Island,10301
330,5005950015,50 ARLO RD ENT,Staten Island,10301
331,5005950015,74 ARLO RD ENT,Staten Island,10301
332,5005950015,74 ARLO RD ENT,Staten Island,10301
333,5005930590,81 ARLO RD OM,Staten Island,10301
334,5005930590,81 ARLO RD OM,Staten Island,10301
335,5039830001,285 MILL RD,Staten Island,10001
336,5039830001,285 MILL RD,Staten Island,10001
337,5005950015,42 ARLO RD EDF,Staten Island,10301
338,5005950015,42 ARLO RD EDF,Staten Island,10301
339,1-00774-7501,252 7th Avenue,New York,10001
340,1-00823-7503,31 West 21st Street,New York,10010
341,1-01247-0029,525 West End Avenue,NY,10024
342,3-05979-0046,P.O. Box 290 523,Brooklyn,112290523
343,3-07405-0052,2765 Ocean Avenue,Brooklyn,11229
344,2059030283,3611 Henry Hudson Parkway,Riverdale,10463
345,2059030283,3611 Henry Hudson Parkway,Riverdale,10463
346,3-00275-0001,200 Clinton Street,Brooklyn,11201
347,1-01274-0006,40 Central Park South,NY,10019
348,3021000072,101 Lafayette Ave,Brooklyn,11217
349,1002899001,44 Division St,New York,10002
350,1013970066,116 E 63 St.,New York,10065
351,1011500037,118 W 79 Street,New York,10024
352,1011240042,12 W 72 Street,New York,10023
353,1011240042,12 W 72 Street,New York,10023
354,1011410039,120 W 70 Street,New York,10023
355,1001000026,140 Nassau Street,New York,10038
356,1001010001,145 Nassau Street,New York,10038
357,1007980071,148 W 23 Street,New York,10011
358,1011500055,150 W 79 Street,New York,10024
359,1001430001,165 Duane Street,New York,10013
360,1006370081,167 Perry Street,New York,10014
361,1014130027,169 E 78 Street,New York,10075
362,1012240001,175 W 93 Street,New York,10025
363,1013610012,2 Beekman Place,New York,10022
364,3002520008,2 Grace Court,Brooklyn,11201
365,1011290045,20 W 77 Street,New York,10024
366,1007660039,201 W 16 Street,New York,10011
367,2042930010,2080-2090 Barnes Ave,Bronx,10462
368,1013210042,212 E 48 Street,New York,10017
369,1018510005,145 West 96th Street,New York,10025
370,1012120110,155 West 81st Street,New York,10024
371,1005680024,21 East 10th street,New York,10003
372,1018900064,308 West104,New York,10025
373,1005910026,3 Sheridan Square,New York,10014
374,1014370001,301 E 62 Street,New York,10065
375,1013330042,304-324 E 41 Street,New York,10017
376,1011660061,310 West End Ave,New York,10023
377,1012480041,320 W 87 Street,New York,10024
378,1011830042,322 W 72 Street,New York,10023
379,4-00161-0033,43-22,Sunnyside,11104
380,1018910035,325 Riverside Dr.,New York,10025
381,1012470047,328 W 86 Street,New York,10024
382,1021770234,330-340 Haven Ave.,New York,10033
383,1001430021,335 Greenwich Street,New York,10013
384,1014510031,350 E 77 Street,New York,10075
385,1-01868-0001,740 West End Avenue,New York,10025
386,1021390530,359 Fort Washington,New York,10033
387,1013670020,36 Sutton Place South,New York,10022
388,3019430006,360 Clinton Ave,Brooklyn,11238
389,1013330023,5 Tudor City Place,New York,10017
390,1010460036,939 Eigth Avenue,New York,10019
391,1012330002,522 West End Ave,New York,10024
392,1012507504,595 West End Ave,New York,10024
393,1012370061,610 West End Ave,New York,10024
394,1012040001,65 W 90 Street,New York,10024
395,1021800371,66 Overlook Terrace,New York,10040
396,1012250029,700 Columbus Ave,New York,10025
397,2046710051,801 Tilden Street,Bronx,10467
398,1005577501,808 Broadway,New York,10003
399,3010680037,9 Prospect Park W,Brooklyn,11215
400,1014930033,940 Park Ave,New York,10028
401,1018407501,100 Manhattan Ave,New York,10025
402,1013340010,325 E 41 Street,New York,10017
403,1013970001,563 Park Ave,New York,10065
404,1012240023,123 W 93 Street,New York,10025
405,1015650001,1646 1 Ave,New York,10028
406,1002467501,305-311 Cherry Street,New York,10002
407,1-01517-0043,160 East 89th Street,New York,10128
408,2-04252-0025,2105 Burr Avenue,Bronx,10461
409,1008780038,290 3rd Avenue,New York,10010
410,4066770001,71-01 150 Street,Flushing,11367
411,4066770001,71-01 150 Street,Flushing,11367
412,4066780001,147-21 72 AVE,Flushing,11367
413,4066780001,147-34 71 Road,Flushing,11367
414,4066780001,147-44 71st Road,Flushing,11367
415,4050500004,144-20 41 Ave,Flushing,11355
416,4050500004,144-20 41 Ave,Flushing,11355
417,4049950064,144-45 35 Ave,Flushing,11354
418,4049950064,144-45 35 Ave,Flushing,11354
419,4076720002,224-01 69 AVENUE,Oakland Gardens,11364
420,4076720002,224-08 67 AVENUE,Oakland Gardens,11364
421,4076720002,224-30 67 AVENUE,Oakland Gardens,11364
422,4076720002,225-19 69 AVENUE,Oakland Gardens,11364
423,4076720002,225-25 69 AVE,Oakland Gardens,11364
424,4076720002,67-01 224 STREET,Oakland Gardens,11364
425,4076720002,67-02 CLOVERDALE BLVD,Oakland Gardens,11364
426,4076720002,67-05 224 STREET,Oakland Gardens,11364
427,4076720002,67-13 224 STREET,Oakland Gardens,11364
428,4076720002,67-45 224 STREET,Oakland Gardens,11364
429,4076720002,67-57 224 STREET,Oakland Gardens,11364
430,4076720002,67-89 224 STREET,Oakland Gardens,11364
431,4076720002,67-97 224 STREET,Oakland Gardens,11364
432,4076720002,68-01 224TH ST.,Oakland Gardens,11364
433,4076720002,68-02 CLOVERDALE BLVD,Oakland Gardens,11364
434,4076720002,68-40 CLOVERDALE Boulevard,Oakland Gardens,11364
435,4008940030,20-53 18th Street,Queens,11105
436,4008940030,20-53 18th Street,Queens,11105
437,4071170002,188-01 71 Circle,Fresh Meadows,11365
438,4071170002,188-01 71 Circle,Fresh Meadows,11365
439,4071170003,189-02 64 Ave,Fresh Meadows,11365
440,4071170003,189-02 64 Ave,Fresh Meadows,11365
441,4071170300,60-01 194 St,Fresh Meadows,11365
442,4071170300,60-01 194 St,Fresh Meadows,11365
443,4071170008,192-15 69 Ave,Fresh Meadows,11365
444,4071170008,192-15 69 Ave,Fresh Meadows,11365
445,4071170006,194-16 64 Ave,Fresh Meadows,11365
446,4071170006,194-16 64 Ave,Fresh Meadows,11365
447,4071150002,69-30 186 LANE,Fresh Meadows,11365
448,4071150002,69-30 186 LANE,Fresh Meadows,11365
449,4071170003;4071170006;4071170300;4071170008;4071150002;4071170002,67-10 192 ST,Fresh Meadows,11365
450,4071170003;4071170006;4071170300;4071170008;4071150002;4071170002,67-10 192 ST,Fresh Meadows,11365
451,2032620077,114-116 West 238th Street,Bronx,10463
452,1022460120,1803 Riverside Drive,New York,10034
453,1021750027,100 Arden Street,New York,10040
454,1021420120,300 Fort Washington Avenue,New York,10032
