,"NYC Borough, Block and Lot (BBL)",Address 1,City,Postcode
469,2-03335-0050,225-27 E. Mosholu Pkwy,Bronx,10467
470,2-04252-0025,2105 Burr Ave.,Bronx,10461
471,2-03213-0018,2446 University Avenue,Bronx,10469
472,2-04177-0007,3120 Buhre Avenue,Bronx,10461
473,2-04194-0025,2900 St. Theresa Avenue,Bronx,10461
474,2-02879-0053,1820 Loring Place,Bronx,10453
475,2-03159-0007,2320 Grand Concourse,Bronx,10458
476,2-03363-0001,4250 Van Cortlandt Park E,Bronx,10470
477,2-04512-0001,2704 Wallace Avenue,Bronx,10467
478,2-04512-0060,2707 Barnes Avenue,Bronx,10467
479,1-01184-0031,11 Riverside Drive,New York,10023
480,,996 Aldus St.,Bronx,10459
481,4-03355-0144,83-33 Austin Street,Queens,11415
482,1010450050,330 West 55th Street,New York,10019
483,4-03322-0135,118-11 84th Street,Queens,11415
484,4003420018,36-05 29th Street,Astoria,11106
485,4015810014,86-22 Dongan Avenue,Elmhurst,11373
486,1018230001,1855 7TH AVENUE,New York,10026
487,2-03225-0156,2304 Sedgewick Avenue,Bronx,10468
488,2-02824-0038,1694-1698 Selwyn Avenue,Bronx,10457
489,2-04569-0043,3021 Holland Avenue,Bronx,10467
490,1-02174-0154,29-45 Sickles Street,New York,10040
491,3068170030,1860 east 12 street,Brooklyn,11229
492,3066100055,1679 East 3 st,Brooklyn,11230
493,3087140020,2991 BRIGHTON 13 St,Brooklyn,11235
494,3065610030,2453 64 st,Brooklyn,11204
495,,59 KENT ST,BROOKLYN,11222
496,,110 Mount Hope Place,Bronx,10453
497,1-00412-0053,188 Ludlow St,New York,10002
498,4-01946-0001,99-11 59th Ave,Corona,11368
499,3-00918-0052,637 41st Street,Brooklyn,11232
500,1013680005,405 EAST 56 STREET,New York,10022
